Ранг ГЛ;Ранг РУ;Уровень;По-английски;По-французски;Инфинитив;Подробности;Разговорный;Неправильный;Группа ;Суффикс спряжения;Совершенный вид;Пара аспектов;Возвратный;Движение;Я;Ты;Он/Она/Оно;Мы;Вы;Они;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время
402;2480;B1;"describe; depict";décrire;описывать;;;;;;несовер.;описывать/описать;not reflexive;not movement;описываю;описываешь;описывает;описываете;описываем;описывают;описывай;описывайте;описывая;описывав;описывающий;описывавший;описываемый;
10000;10000;B1;"describe; depict";décrire;описать;;;;;;совер.;описывать/описать;not reflexive;not movement;опишу;опишешь;опишет;опишете;опишем;опишут;опиши;опишите;;описав, *описавши;;описавший;;описанный
403;2483;B1;"control; check";contrôler;контролировать;;;;;;несовер.;контролировать/проконтролировать;not reflexive;not movement;контролирую;контролируешь;контролирует;контролируете;контролируем;контролируют;контролируй;контролируйте;контролируя;контролировав;контролирующий;контролировавший;контролируемый;контролированный
10000;10000;B1;"control; check";contrôler;проконтролировать;;;;;;совер.;контролировать/проконтролировать;not reflexive;not movement;проконтролирую;проконтролируешь;проконтролирует;проконтролируете;проконтролируем;проконтролируют;проконтролируй;проконтролируйте;;проконтролировав, *проконтролировавши;;проконтролировавший;;
404;2506;B1;"keep; preserve";"conserver; préserver";сохранять;;;;;;несовер.;сохранять/сохранить;not reflexive;not movement;сохраняю;сохраняешь;сохраняет;сохраняете;сохраняем;сохраняют;сохраняй;сохраняйте;сохраняя;сохранявши;сохраняющий;сохранявший;сохраняемый;
10000;10000;B1;"keep; preserve";"conserver; préserver";сохранить;;;;;;совер.;сохранять/сохранить;not reflexive;not movement;сохраню;сохранишь;сохранит;сохраните;сохраним;сохранят;сохрани;сохраните;;сохранив, *сохранивши;;сохранивший;;сохранённый
405;2507;B1;"live; reside";"vivre; habiter";проживать;;;;;;несовер.;проживать/прожить;not reflexive;movement;проживаю;проживаешь;проживает;проживаете;проживаем;проживают;проживай;проживайте;проживая;проживав;проживающий;проживавший;проживающий;проживавший
10000;10000;B1;"live; reside";"vivre; habiter";прожить;;;неправ.;;;совер.;проживать/прожить;not reflexive;not movement;проживу;проживёшь;проживёт;проживёте;проживём;проживут;проживи;проживите;;прожив, *проживши;;проживший;;прожитый
406;2510;B1;"smell (of); reck (of)";sentir;пахнуть;;;;;;несовер.;;not reflexive;movement;пахну;пахнешь;пахнет;пахнете;пахнем;пахнут;пахни;пахните;;пахнув, пахши;пахнущий;пахнувший, пахший;пахнущий;пахнувший, пахший
407;2517;B1;"give (to); proffer (to)";taille;подавать;;;;;;несовер.;подавать/подать;not reflexive;not movement;подаю;подаёшь;подаёт;подаёте;подаём;подают;подавай;подавайте;подавая;подавав;подающий;подававший;подаваемый;
10000;10000;B1;"tax; duty";taille;подать;;;неправ.;;;совер.;подавать/подать;not reflexive;not movement;подам;подашь;подаст;подадите;подадим;подадут;подай;подайте;;подав, *подавши;;подавший;;поданный
408;2519;B1;keep;"garder; conserver";хранить;;;;;;несовер.;;not reflexive;not movement;храню;хранишь;хранит;храните;храним;хранят;храни;храните;храня;хранив;хранящий;хранивший;хранимый;хранённый
409;2539;B1;wage war (on, with);"faire la guerre (à); guerroyer (contre)";воевать;;;;;;несовер.;;not reflexive;movement;воюю;воюешь;воюет;воюете;воюем;воюют;воюй;воюйте;воюя;воевав;воюющий;воевавший;воюющий;воевавший
410;2547;B1;"be(come) interested; take an interest in";"s'intéresser à; prendre intérêt à";интересоваться;;;;;;несовер.;интересоваться/заинтересоваться;reflexive;not movement;интересуюсь;интересуешься;интересуется;интересуетесь;интересуемся;интересуются;интересуйся;интересуйтесь;интересуясь;интересовавшись;интересующийся;интересовавшийся;интересующийся;интересовавшийся
411;2548;B1;"wonder at; be astonished; surprised; amazed at";"s'étonner (de); être étonné (de)";удивляться;;;;;;несовер.;удивляться/удивиться;reflexive;not movement;удивляюсь;удивляешься;удивляется;удивляетесь;удивляемся;удивляются;удивляйся;удивляйтесь;удивляясь;удивлявшись;удивляющийся;удивлявшийся;удивляющийся;удивлявшийся
10000;10000;B1;"wonder at; be astonished; surprised; amazed at";"s'étonner (de); être étonné (de)";удивиться;;;;;;совер.;удивляться/удивиться;reflexive;not movement;удивлюсь;удивишься;удивится;удивитесь;удивимся;удивятся;удивись;удивитесь;;удивившись;;удивившийся;;
412;2554;B1;complain (of, about);наушничать;жаловаться;;;;;;несовер.;жаловаться/пожаловаться;reflexive;not movement;жалуюсь;жалуешься;жалуется;жалуетесь;жалуемся;жалуются;жалуйся;жалуйтесь;жалуясь;жаловавшись;жалующийся;жаловавшийся;жалующийся;жаловавшийся
413;2559;B1;"pity; feel sorry (for)";"plaindre; avoir pitié de";жалеть;;;;;;несовер.;жалеть/пожалеть;not reflexive;not movement;жалею;жалеешь;жалеет;жалеете;жалеем;жалеют;жалей;жалейте;жалея;жалев;жалеющий;жалевший;жалеемый;
414;2563;B1;"esteem; respect";"respecter; vénérer";почитать;;;;;;несовер.;почитать/почтить;not reflexive;not movement;почитаю;почитаешь;почитает;почитаете;почитаем;почитают;почитай;почитайте;почитая;почитав;почитающий;почитавший;почитаемый;
10000;10000;B1;"honour (by); pay / do homage (to by)";honorer;почтить;;;неправ.;;;совер.;почитать/почтить;not reflexive;not movement;почту;почтишь;почтит;почтите;почтим;почтут, почтят;почти;почтите;;почтив, *почтивши;;почтивший;;
415;2570;B1;"draw; paint";dessiner;рисовать;;;;;;несовер.;рисовать/нарисовать;not reflexive;not movement;рисую;рисуешь;рисует;рисуете;рисуем;рисуют;рисуй;рисуйте;рисуя;рисовав;рисующий;рисовавший;рисуемый;рисованный
416;2572;B1;"be agitated; be in agitation";"s'agiter; ondoyer";волноваться;;;;;;несовер.;волноваться/взволноваться;reflexive;not movement;волнуюсь;волнуешься;волнуется;волнуетесь;волнуемся;волнуются;волнуйся;волнуйтесь;волнуясь;волновавшись;волнующийся;волновавшийся;волнующийся;волновавшийся
10000;10000;B1;"get excited; get worried";"être ému; être troublé";взволноваться;;;;;;совер.;волноваться/взволноваться;reflexive;not movement;взволнуюсь;взволнуешься;взволнуется;взволнуетесь;взволнуемся;взволнуются;взволнуйся;взволнуйтесь;;взволновавшись;;взволновавшийся;;
417;2579;B1;earn;gagner;зарабатывать;;;;;;несовер.;зарабатывать/заработать;not reflexive;not movement;зарабатываю;зарабатываешь;зарабатывает;зарабатываете;зарабатываем;зарабатывают;зарабатывай;зарабатывайте;зарабатывая;зарабатывав;зарабатывающий;зарабатывавший;зарабатываемый;
10000;10000;B1;"begin to work; start working";gagner;заработать;;;;;;совер.;зарабатывать/заработать;not reflexive;movement;заработаю;заработаешь;заработает;заработаете;заработаем;заработают;заработай;заработайте;;заработав, *заработавши;;заработавший;;
418;2581;B1;"interest in; awake / rouse smb.'s interest in";éveiller l'intérêt de;заинтересовать;;;;;;совер.;интересовать/заинтересовать;not reflexive;not movement;заинтересую;заинтересуешь;заинтересует;заинтересуете;заинтересуем;заинтересуют;заинтересуй;заинтересуйте;;заинтересовав;;заинтересовавший;;заинтересованный
419;2588;B1;"adapt oneself (to); conform (to)";"se conformer; s'accomoder";применяться;;;;;;несовер.;применяться/примениться;reflexive;not movement;применяюсь;применяешься;применяется;применяетесь;применяемся;применяются;применяйся;применяйтесь;применяясь;применявшись;применяющийся;применявшийся;применяющийся;применявшийся
10000;10000;B1;"adapt oneself (to); conform (to)";"se conformer; s'accomoder";примениться;;;;;;совер.;применяться/примениться;reflexive;not movement;применюсь;применишься;применится;применитесь;применимся;применятся;применись;применитесь;;применившись;;применившийся;;
420;2591;B1;"need; require";être nécessaire;потребоваться;;;;;;совер.;требоваться/потребоваться;reflexive;not movement;потребуюсь;потребуешься;потребуется;потребуетесь;потребуемся;потребуются;потребуйся;потребуйтесь;;потребовавшись;;потребовавшийся;;
421;2602;B1;"go down; come down";dévaler;спускаться;;;;;;несовер.;спускаться/спуститься;reflexive;not movement;спускаюсь;спускаешься;спускается;спускаетесь;спускаемся;спускаются;спускайся;спускайтесь;спускаясь;спускавшись;спускающийся;спускавшийся;спускающийся;спускавшийся
10000;10000;B1;"go / come down; descend";descendre;спуститься;;;;;;совер.;спускаться/спуститься;reflexive;not movement;спущусь;спустишься;спустится;спуститесь;спустимся;спустятся;спустись;спуститесь;;спустившись;;спустившийся;;
422;2607;B1;"place; mount";"placer; installer";устанавливать;;;;;;несовер.;устанавливать/установить;not reflexive;not movement;устанавливаю;устанавливаешь;устанавливает;устанавливаете;устанавливаем;устанавливают;устанавливай;устанавливайте;устанавливая;устанавливав;устанавливающий;устанавливавший;устанавливаемый;
10000;10000;B1;"place; mount";"placer; installer";установить;;;;;;совер.;устанавливать/установить;not reflexive;not movement;установлю;установишь;установит;установите;установим;установят;установи;установите;;установив, *установивши;;установивший;;установленный
423;2612;B1;"end; be over";prendre fin;заканчиваться;;;;;;несовер.;заканчиваться/закончиться;reflexive;not movement;заканчиваюсь;заканчиваешься;заканчивается;заканчиваетесь;заканчиваемся;заканчиваются;заканчивайся;заканчивайтесь;заканчиваясь;заканчивавшись;заканчивающийся;заканчивавшийся;заканчивающийся;заканчивавшийся
10000;10000;B1;"end; be over";prendre fin;закончиться;;;;;;совер.;заканчиваться/закончиться;reflexive;not movement;закончусь;закончишься;закончится;закончитесь;закончимся;закончатся;закончись;закончитесь;;закончившись;;закончившийся;;
424;2614;B1;"want; like";avoir envie de;захотеться;;;;;;совер.;хотеться/захотеться;reflexive;not movement;;;захочется;;;;;;;;;;;
425;2625;B1;"agitate; trouble";agiter;волновать;;;;;;несовер.;волновать/взволновать;not reflexive;not movement;волную;волнуешь;волнует;волнуете;волнуем;волнуют;волнуй;волнуйте;волнуя;волновав;волнующий;волновавший;волнуемый;волнованный
426;2633;B1;worry;"s'inquiéter de; de";беспокоиться;;;;;;несовер.;беспокоиться/обеспокоиться;reflexive;not movement;беспокоюсь;беспокоишься;беспокоится;беспокоитесь;беспокоимся;беспокоятся;беспокойся;беспокойтесь;беспокоясь;беспокоившись;беспокоящийся;беспокоившийся;беспокоящийся;беспокоившийся
10000;10000;B1;"become anxious; uneasy; be worried; disturbed";s'inquiéter;обеспокоиться;;;;;;совер.;беспокоиться/обеспокоиться;reflexive;not movement;обеспокоюсь;обеспокоишься;обеспокоится;обеспокоитесь;обеспокоимся;обеспокоятся;обеспокойся;обеспокойтесь;;обеспокоившись;;обеспокоившийся;;
427;2635;B1;"disturb; break";troubler;нарушать;;;;;;несовер.;нарушать/нарушить;not reflexive;not movement;нарушаю;нарушаешь;нарушает;нарушаете;нарушаем;нарушают;нарушай;нарушайте;нарушая;нарушав;нарушающий;нарушавший;нарушаемый;
10000;10000;B1;"disturb; break";troubler;нарушить;;;;;;совер.;нарушать/нарушить;not reflexive;not movement;нарушу;нарушишь;нарушит;нарушите;нарушим;нарушат;нарушь;нарушьте;;нарушив, *нарушивши;;нарушивший;;нарушенный
428;2636;B1;"reach; touch";"atteindre; toucher à";доставать;;;;;;несовер.;доставать/достать;not reflexive;not movement;достаю;достаёшь;достаёт;достаёте;достаём;достают;доставай;доставайте;доставая;доставав;достающий;достававший;доставаемый;
10000;10000;B1;"reach; touch";"atteindre; toucher à";достать;;;;;;совер.;доставать/достать;not reflexive;not movement;достану;достанешь;достанет;достанете;достанем;достанут;достань;достаньте;;достав, *доставши;;доставший;;-
429;2640;B1;"forgive; excuse";"pardonner; excuser";прощать;;;;;;несовер.;прощать/простить;not reflexive;not movement;прощаю;прощаешь;прощает;прощаете;прощаем;прощают;прощай;прощайте;прощая;прощав;прощающий;прощавший;прощаемый;
10000;10000;B1;"excuse; pardon";"pardonner; excuser";простить;;;;;;совер.;прощать/простить;not reflexive;not movement;прощу;простишь;простит;простите;простим;простят;прости;простите;;простив, *простивши;;простивший;;прощённый
430;2654;B1;"agree (to); consent (to)";"consentir à; approuver";соглашаться;;;;;;несовер.;соглашаться/согласиться;reflexive;not movement;соглашаюсь;соглашаешься;соглашается;соглашаетесь;соглашаемся;соглашаются;соглашайся;соглашайтесь;соглашаясь;соглашавшись;соглашающийся;соглашавшийся;соглашающийся;соглашавшийся
10000;10000;B1;"agree (to); consent (to)";"consentir à; approuver";согласиться;;;;;;совер.;соглашаться/согласиться;reflexive;not movement;соглашусь;согласишься;согласится;согласитесь;согласимся;согласятся;согласись;согласитесь;;согласившись;;согласившийся;;
431;2660;B1;last;"durer; être de longue durée";длиться;;;;;;несовер.;длиться/продлиться;reflexive;not movement;длюсь;длишься;длится;длитесь;длимся;длятся;длись;длитесь;длясь;длившись;длящийся;длившийся;длящийся;длившийся
10000;10000;B1;last;"durer; se prolonger";продлиться;;;;;;совер.;длиться/продлиться;reflexive;not movement;продлюсь;продлишься;продлится;продлитесь;продлимся;продлятся;продлись;продлитесь;;продлившись, продлясь;;продлившийся;;
432;2664;B1;have time;arriver à temps;успевать;;;;;;несовер.;успевать/успеть;not reflexive;movement;успеваю;успеваешь;успевает;успеваете;успеваем;успевают;успевай;успевайте;успевая;успевав;успевающий;успевавший;успевающий;успевавший
10000;10000;B1;have time;arriver à temps;успеть;;;;;;совер.;успевать/успеть;not reflexive;movement;успею;успеешь;успеет;успеете;успеем;успеют;успей;успейте;;успев, *успевши;;успевший;;
433;2672;B1;"stop; cease";cesser (de);переставать;;;;;;несовер.;переставать/перестать;not reflexive;movement;перестаю;перестаёшь;перестаёт;перестаёте;перестаём;перестают;переставай;переставайте;переставая;переставав;перестающий;перестававший;перестающий;перестававший
10000;10000;B1;"stop; cease";cesser (de);перестать;;;;;;совер.;переставать/перестать;not reflexive;movement;перестану;перестанешь;перестанет;перестанете;перестанем;перестанут;перестань;перестаньте;;перестав, *переставши;;переставший;;
434;2674;B1;"save; rescue";sauver;спасать;;;;;;несовер.;спасать/спасти;not reflexive;not movement;спасаю;спасаешь;спасает;спасаете;спасаем;спасают;спасай;спасайте;спасая;спасав;спасающий;спасавший;спасаемый;
435;2675;B1;"be proud (of); take pride (in)";être fier de;гордиться;;;;;;несовер.;;reflexive;not movement;горжусь;гордишься;гордится;гордитесь;гордимся;гордятся;гордись;гордитесь;гордясь;гордившись;гордящийся;гордившийся;гордящийся;гордившийся
436;2684;B1;"compare (with); compare (to)";"comparer; confronter";сравнивать;;;;;;несовер.;сравнивать/сравнить;not reflexive;not movement;сравниваю;сравниваешь;сравнивает;сравниваете;сравниваем;сравнивают;сравнивай;сравнивайте;сравнивая;сравнивав;сравнивающий;сравнивавший;сравниваемый;
10000;10000;B1;"compare (with); compare (to)";"comparer; confronter";сравнить;;;;;;совер.;сравнивать/сравнить;not reflexive;not movement;сравню;сравнишь;сравнит;сравните;сравним;сравнят;сравни;сравните;;сравнив, *сравнивши;;сравнивший;;сравнённый
437;2687;B1;"underline; underscore";souligner;подчеркивать;;;;;;несовер.;подчеркивать/подчеркнуть;not reflexive;not movement;подчёркиваю;подчёркиваешь;подчёркивает;подчёркиваете;подчёркиваем;подчёркивают;подчёркивай;подчёркивайте;подчёркивая;подчёркивав;подчёркивающий;подчёркивавший;подчёркиваемый;
10000;10000;B1;"underline; underscore";souligner;подчеркнуть;;;;;;совер.;подчеркивать/подчеркнуть;not reflexive;not movement;подчеркну;подчеркнёшь;подчеркнёт;подчеркнёте;подчеркнём;подчеркнут;подчеркни;подчеркните;;подчеркнув, *подчеркнувши;;подчеркнувший;;подчёркнутый
438;2693;B1;add (to);ajouter;добавлять;;;;;;несовер.;добавлять/добавить;not reflexive;not movement;добавляю;добавляешь;добавляет;добавляете;добавляем;добавляют;добавляй;добавляйте;добавляя;добавляв;добавляющий;добавлявший;добавляемый;
10000;10000;B1;add (to);ajouter;добавить;;;;;;совер.;добавлять/добавить;not reflexive;not movement;добавлю;добавишь;добавит;добавите;добавим;добавят;добавь;добавьте;;добавив, *добавивши;;добавивший;;добавленный
439;2695;B1;be kept;"se trouver; reposer";храниться;;;;;;несовер.;храниться/хранить;reflexive;not movement;хранюсь;хранишься;хранится;хранитесь;хранимся;хранятся;хранись;хранитесь;хранясь;хранившись;хранящийся;хранившийся;хранящийся;хранившийся
440;2696;B1;hang (up);"suspendre; accrocher";повесить;;;;;;совер.;вешать/повесить;not reflexive;not movement;повешу;повесишь;повесит;повесите;повесим;повесят;повесь;повесьте;;повесив;;повесивший;;повешенный
441;2698;B1;touch;toucher de;трогать;;;;;;несовер.;трогать/тронуть;not reflexive;not movement;трогаю;трогаешь;трогает;трогаете;трогаем;трогают;трогай;трогайте;трогая;трогав;трогающий;трогавший;трогаемый;
10000;10000;B1;touch;toucher de;тронуть;;;;;;совер.;трогать/тронуть;not reflexive;not movement;трону;тронешь;тронет;тронете;тронем;тронут;тронь;троньте;;тронув, *тронувши;;тронувший;;тронутый
442;2701;B1;"observe; obey";"observer; garder";соблюдать;;;;;;несовер.;соблюдать/соблюсти;not reflexive;not movement;соблюдаю;соблюдаешь;соблюдает;соблюдаете;соблюдаем;соблюдают;соблюдай;соблюдайте;соблюдая;соблюдав;соблюдающий;соблюдавший;соблюдаемый;
10000;10000;B1;"observe; obey";"observer; garder";соблюсти;;;неправ.;;;совер.;соблюдать/соблюсти;not reflexive;not movement;соблюду;соблюдёшь;соблюдёт;соблюдёте;соблюдём;соблюдут;соблюди;соблюдите;;соблюдя, *соблюдши;;соблюдший;;соблюдённый
443;2703;B1;"use; make use (of)";"employer; faire usage de";употреблять;;;;;;несовер.;употреблять/употребить;not reflexive;not movement;употребляю;употребляешь;употребляет;употребляете;употребляем;употребляют;употребляй;употребляйте;употребляя;употребляв;употребляющий;употреблявший;употребляемый;
10000;10000;B1;"use; make use (of)";"employer; faire usage de";употребить;;;;;;совер.;употреблять/употребить;not reflexive;not movement;употреблю;употребишь;употребит;употребите;употребим;употребят;употреби;употребите;;употребив, *употребивши;;употребивший;;употреблённый
444;2706;B1;"deal (in); trade";"faire du commerce; commercer";торговать;;;;;;несовер.;;not reflexive;not movement;торгую;торгуешь;торгует;торгуете;торгуем;торгуют;торгуй;торгуйте;торгуя;торговав;торгующий;торговавший;торгуемый;
445;2710;B1;"give notice (of); let know beforehand (about)";"prévenir; avertir";предупреждать;;;;;;несовер.;предупреждать/предупредить;not reflexive;not movement;предупреждаю;предупреждаешь;предупреждает;предупреждаете;предупреждаем;предупреждают;предупреждай;предупреждайте;предупреждая;предупреждав;предупреждающий;предупреждавший;предупреждаемый;
10000;10000;B1;"give notice (of); let know beforehand (about)";"prévenir; avertir";предупредить;;;;;;совер.;предупреждать/предупредить;not reflexive;not movement;предупрежу;предупредишь;предупредит;предупредите;предупредим;предупредят;предупреди;предупредите;;предупредив, *предупредивши;;предупредивший;;предупреждённый
446;2718;B1;"object (to); raise an objection (to)";"objecter; répliquer";возражать;;;;;;несовер.;возражать/возразить;not reflexive;movement;возражаю;возражаешь;возражает;возражаете;возражаем;возражают;возражай;возражайте;возражая;возражав;возражающий;возражавший;возражающий;возражавший
10000;10000;B1;"object (to); raise an objection (to)";"objecter; répliquer";возразить;;;;;;совер.;возражать/возразить;not reflexive;movement;возражу;возразишь;возразит;возразите;возразим;возразят;возрази;возразите;;возразив, возразя, *возразивши;;возразивший;;
447;2719;B1;upset;"inquiéter; troubler";беспокоить;;;;;;несовер.;беспокоить/беспокоиться;not reflexive;not movement;беспокою;беспокоишь;беспокоит;беспокоите;беспокоим;беспокоят;беспокой;беспокойте;беспокоя;беспокоив;беспокоящий;беспокоивший;;беспокоенный
448;2722;B1;"greet; salute";"saluer; complimenter";приветствовать;;;;;;несовер.;;not reflexive;not movement;приветствую;приветствуешь;приветствует;приветствуете;приветствуем;приветствуют;приветствуй;приветствуйте;приветствуя;приветствовав;приветствующий;приветствовавший;приветствуемый;приветствованный
449;2733;B1;be born;naître;рождаться;;;;;;несовер.;рождаться/родиться;reflexive;not movement;рождаюсь;рождаешься;рождается;рождаетесь;рождаемся;рождаются;рождайся;рождайтесь;рождаясь;;рождающийся;рождавшийся;рождающийся;рождавшийся
450;2739;B1;vote (for, against);voter (pour);голосовать;;;;;;несовер.;голосовать/проголосовать;not reflexive;not movement;голосую;голосуешь;голосует;голосуете;голосуем;голосуют;голосуй;голосуйте;голосуя;голосовав;голосующий;голосовавший;голосуемый;
10000;10000;B1;vote (for, against);"voter; mettre aux voix";проголосовать;;;;;;совер.;голосовать/проголосовать;not reflexive;not movement;проголосую;проголосуешь;проголосует;проголосуете;проголосуем;проголосуют;проголосуй;проголосуйте;;проголосовав, *проголосовавши;;проголосовавший;;
451;2743;B1;guard / protect (from, against);"garder; sauvegarder";охранять;;;;;;несовер.;охранять/охранить;not reflexive;not movement;охраняю;охраняешь;охраняет;охраняете;охраняем;охраняют;охраняй;охраняйте;охраняя;охраняв;охраняющий;охранявший;охраняемый;
10000;10000;B1;guard / protect (from, against);"garder; sauvegarder";охранить;;;;;;совер.;охранять/охранить;not reflexive;not movement;охраню;охранишь;охранит;охраните;охраним;охранят;охрани;охраните;;охранив, *охранивши;;охранивший;;охранённый
452;2751;B1;"pick out; choose";"choisir; mettre à part";выделять;;;;;;несовер.;выделять/выделить;not reflexive;not movement;выделяю;выделяешь;выделяет;выделяете;выделяем;выделяют;выделяй;выделяйте;выделяя;выделяв;выделяющий;выделявший;выделяемый;
10000;10000;B1;"pick out; choose";"choisir; mettre à part";выделить;;;неправ.;;;совер.;выделять/выделить;not reflexive;not movement;выделю;выделишь;выделит;выделите;выделим;выделят;выдели;выделите;;выделив, *выделивши;;выделивший;;выделенный
453;2755;B1;"spoil; mar";"casser; briser";испортить;;;;;;совер.;портить/испортить;not reflexive;not movement;испорчу;испортишь;испортит;испортите;испортим;испортят;испорти, испорть;испортите, испортьте;;испортив;;испортивший;;испорченный
454;2767;B1;"deliver; convey";"fournir; amener";доставлять;;;;;;несовер.;доставлять/доставить;not reflexive;not movement;доставляю;доставляешь;доставляет;доставляете;доставляем;доставляют;доставляй;доставляйте;доставляя;доставляв;доставляющий;доставлявший;доставляемый;
10000;10000;B1;"deliver; convey";"fournir; amener";доставить;;;;;;совер.;доставлять/доставить;not reflexive;not movement;доставлю;доставишь;доставит;доставите;доставим;доставят;доставь;доставьте;;доставив, *доставивши;;доставивший;;доставленный
455;2771;B1;"be on the floor; be on the table";"examiner; étudier";обсуждаться;;;;;;несовер.;обсуждаться/обсудить;reflexive;not movement;обсуждаюсь;обсуждаешься;обсуждается;обсуждаетесь;обсуждаемся;обсуждаются;обсуждайся;обсуждайтесь;обсуждаясь;обсуждавшись;обсуждающийся;обсуждавшийся;обсуждающийся;обсуждавшийся
10000;10000;B1;"discuss; consider";"examiner; étudier";обсудить;;;;;;совер.;обсуждаться/обсудить;not reflexive;not movement;обсужу;обсудишь;обсудит;обсудите;обсудим;обсудят;обсуди;обсудите;;обсудив, *обсудивши;;обсудивший;;обсуждённый
456;2778;B1;"carry in; bring in";"porter; apporter";вносить;;;;;;несовер.;вносить/внести;not reflexive;not movement;вношу;вносишь;вносит;вносите;вносим;вносят;вноси;вносите;внося;вносив;вносящий;вносивший;вносимый;
10000;10000;B1;"carry in; bring in";"porter; apporter";внести;;;неправ.;;;совер.;вносить/внести;not reflexive;not movement;внесу;внесёшь;внесёт;внесёте;внесём;внесут;внеси;внесите;;внеся, *внёсши;;внёсший;;внесённый
457;2799;B1;"raise; heighten";"hausser; élever";повышать;;;;;;несовер.;повышать/повысить;not reflexive;not movement;повышаю;повышаешь;повышает;повышаете;повышаем;повышают;повышай;повышайте;повышая;повышав;повышающий;повышавший;повышаемый;
10000;10000;B1;"raise; heighten";"hausser; élever";повысить;;;;;;совер.;повышать/повысить;not reflexive;not movement;повышу;повысишь;повысит;повысите;повысим;повысят;повысь;повысьте;;повысив, *повысивши;;повысивший;;повышенный
458;2804;B1;analyse;analyser;анализировать;;;;;;несовер.;анализировать/проанализировать;not reflexive;not movement;анализирую;анализируешь;анализирует;анализируете;анализируем;анализируют;анализируй;анализируйте;анализируя;анализировав;анализирующий;анализировавший;анализируемый;анализированный
459;2805;B1;"weigh (upon); lie heavy (on)";"peser sur; exercer une pression sur";давить;;;;;;несовер.;давить/раздавить;not reflexive;not movement;давлю;давишь;давит;давите;давим;давят;дави;давите;давя;давив;давящий;давивший;;давленный
10000;10000;B1;crush;écraser;раздавить;;;;;;совер.;давить/раздавить;not reflexive;not movement;раздавлю;раздавишь;раздавит;раздавите;раздавим;раздавят;раздави;раздавите;;раздавив, *раздавивши;;раздавивший;;раздавленный
460;2812;B1;"transfer; carry";"transporter; transférer";переносить;;;;;;несовер.;переносить/перенести;not reflexive;not movement;переношу;переносишь;переносит;переносите;переносим;переносят;переноси;переносите;;переносив;;переносивший;;переношенный
10000;10000;B1;"transfer; carry";"transporter; transférer";перенести;;;неправ.;;;совер.;переносить/перенести;not reflexive;not movement;перенесу;перенесёшь;перенесёт;перенесёте;перенесём;перенесут;перенеси;перенесите;;перенеся, *перенёсши;;перенёсший;;перенесённый
461;2815;B1;"fight; scuffle";"se battre; être aux prises avec";драться;;;;;;несовер.;драться/подраться;reflexive;not movement;дерусь;дерёшься;дерётся;дерётесь;дерёмся;дерутся;дерись;деритесь;дерясь;дравшись;дерущийся;дравшийся;дерущийся;дравшийся
10000;10000;B1;"fight; scuffle (with)";"se battre; en venir aux mains";подраться;;;;;;совер.;драться/подраться;reflexive;not movement;подерусь;подерёшься;подерётся;подерётесь;подерёмся;подерутся;подерись;подеритесь;;подравшись;;подравшийся;;
462;2817;B1;come unscrewed;"se détourner; tourner le dos (à)";отвернуться;;;;;;совер.;отвертываться/отвернуться;reflexive;not movement;отвернусь;отвернёшься;отвернётся;отвернётесь;отвернёмся;отвернутся;отвернись;отвернитесь;;отвернувшись;;отвернувшийся;;
10000;10000;B1;come unscrewed;"se détourner; tourner le dos (à)";отвертываться;;;;;;несовер.;отвертываться/отвернуться;reflexive;not movement;;;;;;;;;;;;;;
463;2822;B1;"exchange; barter (for)";"менять; обменять";поменять;;;;;;совер.;менять/поменять;not reflexive;not movement;поменяю;поменяешь;поменяет;поменяете;поменяем;поменяют;поменяй;поменяйте;;поменяв;;поменявший;;поменянный
464;2837;B1;"print; type";"imprimer; dactylographier";печатать;;;;;;несовер.;печатать/напечатать;not reflexive;not movement;печатаю;печатаешь;печатает;печатаете;печатаем;печатают;печатай;печатайте;печатая;печатав;печатающий;печатавший;печатаемый;печатанный
465;2839;B1;"flow out; run out";"s'écouler; couler";вытекать;;;;;;несовер.;вытекать/вытечь;not reflexive;movement;вытекаю;вытекаешь;вытекает;вытекаете;вытекаем;вытекают;вытекай;вытекайте;вытекая;вытекав;вытекающий;вытекавший;вытекающий;вытекавший
10000;10000;B1;"flow out; run out";"s'écouler; couler";вытечь;;;неправ.;;;совер.;вытекать/вытечь;not reflexive;movement;вытеку;вытечешь;вытечет;вытечете;вытечем;вытекут;вытеки;вытеките;;вытекши;;вытекший;;
466;2842;B1;"exclude; leave out";"exclure; éliminer";исключать;;;;;;несовер.;исключать/исключить;not reflexive;not movement;исключаю;исключаешь;исключает;исключаете;исключаем;исключают;исключай;исключайте;исключая;исключав;исключающий;исключавший;исключаемый;
10000;10000;B1;"exclude; leave out";"exclure; éliminer";исключить;;;;;;совер.;исключать/исключить;not reflexive;not movement;исключу;исключишь;исключит;исключите;исключим;исключат;исключи;исключите;;исключив, *исключивши;;исключивший;;исключённый
467;2852;B1;"swear; curse";jurer;ругаться;;;;;;несовер.;ругаться/выругаться;reflexive;not movement;ругаюсь;ругаешься;ругается;ругаетесь;ругаемся;ругаются;ругайся;ругайтесь;ругаясь;ругавшись;ругающийся;ругавшийся;ругающийся;ругавшийся
