Ранг;Уровень;По-английски;По-французский;Инфинитив;Разговорный;Неправильный;Группа ;Суффикс спряжения;Совершенный вид;Пара аспектов;Возвратный;Движение;Я;ТЫ;ОН/ОНА/ОНО;МЫ;ВЫ;ОНИ;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время
0;A2;pass, go, walk (by / through / over / along);passer;пройти;;;;;совер.;проходить/пройти;not reflexive;not movement;пройду;пройдёшь;пройдёт;пройдёте;пройдём;пройдут;пройди;пройдите;;пройдя;;прошедший;;пройденный
1079;A2;believe, trust;croire, ajouter foi à;верить;;;;;несовер.;верить/поверить;not reflexive;not movement;верю;веришь;верит;верите;верим;верят;верь;верьте;веря;верив;верящий;веривший;верящий;веривший
0;A2;entrust (to), confide (to);croire, ajouter foi à;поверить;;;;;совер.;верить/поверить;not reflexive;not movement;поверю;поверишь;поверит;поверите;поверим;поверят;поверь;поверьте;;поверив, *поверивши;;поверивший;;поверенный
1090;A2;hold;tenir;держать;;;;;несовер.;;not reflexive;not movement;держу;держишь;держит;держите;держим;держат;держи;держите;держа;держав;держащий;державший;;
1102;A2;show (to);montrer, faire voir;показывать;;;;;несовер.;показывать/показать;not reflexive;not movement;показываю;показываешь;показывает;показываете;показываем;показывают;показывай;показывайте;показывая;;показывающий;показывавший;показываемый;
0;A2;show (to);montrer, faire voir;показать;;;;;совер.;показывать/показать;not reflexive;not movement;покажу;покажешь;покажет;покажете;покажем;покажут;покажи;покажите;;показав, *показавши;;показавший;;показанный
1106;A2;offer;offrir, proposer;предлагать;;;;;несовер.;предлагать/предложить;not reflexive;not movement;предлагаю;предлагаешь;предлагает;предлагаете;предлагаем;предлагают;предлагай;предлагайте;предлагая;предлагав;предлагающий;предлагавший;предлагаемый;
0;A2;offer;offrir, proposer;предложить;;;;;совер.;предлагать/предложить;not reflexive;not movement;предложу;предложишь;предложит;предложите;предложим;предложат;предложи;предложите;;предложив, *предложивши;;предложивший;;предложенный
1121;A2;wish, desire;désirer, vouloir;желать;;;;;несовер.;желать/пожелать;not reflexive;not movement;желаю;желаешь;желает;желаете;желаем;желают;желай;желайте;желая;желав;желающий;желавший;желаемый;
0;A2;wish, desire;souhaiter;пожелать;;;;;совер.;желать/пожелать;not reflexive;not movement;пожелаю;пожелаешь;пожелает;пожелаете;пожелаем;пожелают;пожелай;пожелайте;;пожелав, *пожелавши;;пожелавший;;-
1127;A2;hear;entendre, ouir;услышать;;;;;совер.;слышать/услышать;not reflexive;not movement;услышу;услышишь;услышит;услышите;услышим;услышат;услышь;услышьте;;услышав;;услышавший;;
1135;A2;lose, shed;perdre;потерять;;;;;совер.;терять/потерять;not reflexive;not movement;потеряю;потеряешь;потеряет;потеряете;потеряем;потеряют;потеряй;потеряйте;;потеряв;;потерявший;;потерянный
1137;A2;call, send for;faire venir, mander;вызывать;;;;;несовер.;вызывать/вызвать;not reflexive;not movement;вызываю;вызываешь;вызывает;вызываете;вызываем;вызывают;вызывай;вызывайте;вызывая;вызывав;вызывающий;вызывавший;вызываемый;
0;A2;call, send for;faire venir, mander;вызвать;;;;;совер.;вызывать/вызвать;not reflexive;not movement;вызову;вызовешь;вызовет;вызовете;вызовем;вызовут;вызови;вызовите;;вызвав, *вызвавши;;вызвавший;;вызванный
1141;A2;go, ride;aller à, partir pour;поехать;;;;;совер.;ехать/поехать;not reflexive;movement;поеду;поедешь;поедет;поедете;поедем;поедут;поезжай, езди;поезжайте, ездите;;поехав;;поехавший;;
1145;A2;approach, go / come / walk / step up (to);s'approcher de, aborder;подходить;;;;;несовер.;подходить/подойти;not reflexive;movement;подхожу;подходишь;подходит;подходите;подходим;подходят;подходи;подходите;подходя;подходив;подходящий;подходивший;подходящий;подходивший
0;A2;approach, go / come / walk / step up (to);s'approcher de, aborder;подойти;;;;;совер.;подходить/подойти;not reflexive;movement;подойду;подойдёшь;подойдёт;подойдёте;подойдём;подойдут;подойди;подойдите;;подойдя;;подошедший;;
1156;A2;come in, arrive;venir, arriver;получаться;;;;;несовер.;получаться/получиться;reflexive;not movement;получаюсь;получаешься;получается;получаетесь;получаемся;получаются;получайся;получайтесь;получаясь;получавшись;получающийся;получавшийся;получающийся;получавшийся
0;A2;come in, arrive;venir, arriver;получиться;;;;;совер.;получаться/получиться;reflexive;not movement;получусь;получишься;получится;получитесь;получимся;получатся;получись;получитесь;;получившись;;получившийся;;
1160;A2;grow, grow up;croître, pousser;расти;;;;;совер.;;not reflexive;movement;расту;растёшь;растёт;растёте;растём;растут;расти;растите;растя;росши;растущий;росший;растущий;росший
1162;A2;meet (with), come / run across;rencontrer, trouver;встречаться;;;;;несовер.;встречаться/встретиться;reflexive;not movement;встречаюсь;встречаешься;встречается;встречаетесь;встречаемся;встречаются;встречайся;встречайтесь;встречаясь;встречавшись;встречающийся;встречавшийся;встречающийся;встречавшийся
0;A2;meet (with), come / run across;rencontrer, trouver;встретиться;;;;;совер.;встречаться/встретиться;reflexive;not movement;встречусь;встретишься;встретится;встретитесь;встретимся;встретятся;встреться;встретьтесь;;встретившись;;встретившийся;;
1173;A2;pay;payer;платить;;;;;несовер.;платить/уплатить;not reflexive;not movement;плачу;платишь;платит;платите;платим;платят;плати;платите;платя;платив;платящий;плативший;;плаченный
0;A2;pay;payer;уплатить;;;;;совер.;платить/уплатить;not reflexive;not movement;уплачу;уплатишь;уплатит;уплатите;уплатим;уплатят;уплати;уплатите;;уплатив, *уплативши;;уплативший;;уплаченный
1177;A2;differ (from);se distinguer, se signaler;отличаться;;;;;несовер.;отличаться/отличиться;reflexive;not movement;;;отличается;;;отличаются;;;;;отличающийся;отличавшийся;отличающийся;отличавшийся
0;A2;differ (from);se distinguer, se signaler;отличиться;;;;;совер.;отличаться/отличиться;reflexive;not movement;;;;;;;;;;;;;;
1178;A2;cry, shout;crier;кричать;;;;;несовер.;кричать/крикнуть;not reflexive;movement;кричу;кричишь;кричит;кричите;кричим;кричат;кричи;кричите;крича;кричав;кричащий;кричавший;кричащий;кричавший
0;A2;cry, shout;crier;крикнуть;;;;;совер.;кричать/крикнуть;not reflexive;movement;крикну;крикнешь;крикнет;крикнете;крикнем;крикнут;крикни;крикните;;крикнув, *крикнувши;;крикнувший;;
1180;A2;carry, bear;porter;носить;;;;;несовер.;носить/понести;not reflexive;not movement;ношу;носишь;носит;носите;носим;носят;носи;носите;нося;носив;носящий;носивший;носимый;ношенный
1184;A2;fall, drop;tomber;упасть;;;;;совер.;падать/упасть;not reflexive;movement;упаду;упадёшь;упадёт;упадёте;упадём;упадут;упади;упадите;;упав;;упавший;;
1193;A2;find, discover;trouver, découvrir;находить;;;;;несовер.;находить/найти;not reflexive;not movement;нахожу;находишь;находит;находите;находим;находят;находи;находите;;находив;;находивший;;нахоженный
0;A2;find, discover;trouver, découvrir;найти;;;;;совер.;находить/найти;not reflexive;not movement;найду;найдёшь;найдёт;найдёте;найдём;найдут;найди;найдите;;найдя;;нашедший;;найденный
1199;A2;побить, beat;battre;бить;;;;;несовер.;бить/побить;not reflexive;not movement;бью;бьёшь;бьёт;бьёте;бьём;бьют;бей;бейте;;бив;бьющий;бивший;;битый
0;A2;beat down, lay (down);battre;побить;;;;;совер.;бить/побить;not reflexive;not movement;побью;побьёшь;побьёт;побьёте;побьём;побьют;побей;побейте;;побив, *побивши;;побивший;;побитый
1201;A2;ring, chime;sonner;звонить;;;;;несовер.;звонить/позвонить;not reflexive;not movement;звоню;звонишь;звонит;звоните;звоним;звонят;звони;звоните;звоня;звонив;звонящий;звонивший;звонящий;звонивший
1203;A2;be / keep silent, keep silence;se taire, garder le silence;молчать;;;;;несовер.;;not reflexive;movement;молчу;молчишь;молчит;молчите;молчим;молчат;молчи;молчите;молча;молчав;молчащий;молчавший;молчащий;молчавший
1209;A2;laugh, chuckle;rire;смеяться;;;;;несовер.;смеяться/засмеяться;reflexive;not movement;смеюсь;смеёшься;смеётся;смеётесь;смеёмся;смеются;смейся;смейтесь;смеясь;смеявшись;смеющийся;смеявшийся;смеющийся;смеявшийся
1217;A2;stir, agitate;empêcher, mettre obstacle à;мешать;;;;;несовер.;мешать/помешать;not reflexive;not movement;мешаю;мешаешь;мешает;мешаете;мешаем;мешают;мешай;мешайте;мешая;мешав;мешающий;мешавший;мешающий;мешавший
0;A2;disturb, hinder;remuer;помешать;;;;;совер.;мешать/помешать;not reflexive;movement;помешаю;помешаешь;помешает;помешаете;помешаем;помешают;помешай;помешайте;;помешав, *помешавши;;помешавший;;
1229;A2;smile;sourire;улыбаться;;;;;несовер.;улыбаться/улыбнуться;reflexive;movement aspect unset;;;;;;;;;;;;;;
0;A2;smile;sourire;улыбнуться;;;;;совер.;улыбаться/улыбнуться;reflexive;movement aspect unset;;;;;;;;;;;;;;
1231;A2;sound, ring;émettre un son;звучать;;;;;несовер.;звучать/прозвучать;not reflexive;movement;звучу;звучишь;звучит;звучите;звучим;звучат;звучи;звучите;звуча;звучав;звучащий;звучавший;звучащий;звучавший
0;A2;sound, ring;émettre un son;прозвучать;;;;;совер.;звучать/прозвучать;not reflexive;movement;прозвучу;прозвучишь;прозвучит;прозвучите;прозвучим;прозвучат;прозвучи;прозвучите;;прозвучав, *прозвучавши;;прозвучавший;;
1233;A2;talk (to, with);causer avec, parler à;разговаривать;;;;;несовер.;;not reflexive;movement;разговариваю;разговариваешь;разговаривает;разговариваете;разговариваем;разговаривают;разговаривай;разговаривайте;разговаривая;разговаривав;разговаривающий;разговаривавший;разговаривающий;разговаривавший
1234;A2;weep, cry;pleurer;плакать;;;;;несовер.;плакать/заплакать;not reflexive;not movement;плачу;плачешь;плачет;плачете;плачем;плачут;плачь;плачьте;плача;плакав;плачущий;плакавший;плачущий;плакавший
1237;A2;build (up), construct;bâtir, construire;строить;;;;;несовер.;строить/выстроить;not reflexive;not movement;строю;строишь;строит;строите;строим;строят;строи;строите;;строив;;строивший;;строенный, строённый
0;A2;draw up, marshal;bâtir;выстроить;;;;;совер.;строить/выстроить;not reflexive;not movement;выстрою;выстроишь;выстроит;выстроите;выстроим;выстроят;выстрой;выстройте;;выстроив, *выстроивши;;выстроивший;;выстроенный
1238;A2;fly, flutter;voler;лететь;;;;;несовер.;лететь/полететь;not reflexive;movement;лечу;летишь;летит;летите;летим;летят;лети;летите;летя;летев;летящий;летевший;летящий;летевший
0;A2;start to fly, fly forth / off;prendre son vol;полететь;;;;;совер.;лететь/полететь;not reflexive;movement;полечу;полетишь;полетит;полетите;полетим;полетят;полети;полетите;;полетев, *полетевши;;полетевший;;
1245;A2;sit down, sit up;s'asseoir, prendre place;садиться;;;;;несовер.;садиться/сесть;reflexive;not movement;сажусь;садишься;садится;садитесь;садимся;садятся;садись;садитесь;садясь;садившись;садящийся;садившийся;садящийся;садившийся
1250;A2;change, affect;changer, échanger;менять;;;;;несовер.;менять/обменять;not reflexive;not movement;меняю;меняешь;меняет;меняете;меняем;меняют;меняй;меняйте;меняя;меняв;меняющий;менявший;меняемый;
0;A2;exchange, barter (for);(échanger troquer) contre;обменять;;;;;совер.;менять/обменять;not reflexive;not movement;обменяю;обменяешь;обменяет;обменяете;обменяем;обменяют;обменяй;обменяйте;;обменяв, *обменявши;;обменявший;;обменянный
1252;A2;learn;apprendre, apprendre à;научиться;;;;;совер.;научить/научиться;reflexive;not movement;научусь;научишься;научится;научитесь;научимся;научатся;научись;научитесь;;научившись;;научившийся;;
1256;A2;go, ride;aller;ездить;;;;;несовер.;ездить/ехать;not reflexive;movement;езжу;ездишь;ездит;ездите;ездим;ездят;езди, поезжай;ездите, поезжайте;ездя;ездив;ездящий;ездивший;ездящий;ездивший
1257;A2;lose, shed;perdre, égarer;терять;;;;;несовер.;терять/потерять;not reflexive;not movement;теряю;теряешь;теряет;теряете;теряем;теряют;теряй;теряйте;теряя;теряв;теряющий;терявший;теряемый;терянный
1265;A2;rise, go up;se lever, se relever;подниматься;;;;;несовер.;подниматься/подняться;reflexive;not movement;поднимаюсь;поднимаешься;поднимается;поднимаетесь;поднимаемся;поднимаются;поднимайся;поднимайтесь;поднимаясь;поднимавшись;поднимающийся;поднимавшийся;поднимающийся;поднимавшийся
0;A2;rise, go up;se lever, se relever;подняться;;;;;совер.;подниматься/подняться;reflexive;not movement;поднимусь, *подымусь;поднимешься, *подымешься;поднимется, *подымется;подниметесь, *подыметесь;поднимемся, *подымемся;поднимутся, *подымутся;поднимись, *подымись;поднимитесь, *подымитесь;;поднявшись;;поднявшийся;;
1266;A2;act;agir;поступать;;;;;несовер.;поступать/поступить;not reflexive;movement;поступаю;поступаешь;поступает;поступаете;поступаем;поступают;поступай;поступайте;поступая;поступав;поступающий;поступавший;поступающий;поступавший
0;A2;act;agir;поступить;;;;;совер.;поступать/поступить;not reflexive;movement;поступлю;поступишь;поступит;поступите;поступим;поступят;поступи;поступите;;поступив, *поступивши;;поступивший;;
1276;A2;burn, be on fire;brûler;гореть;;;;;несовер.;;not reflexive;movement;горю;горишь;горит;горите;горим;горят;гори;горите;горя;горев;горящий;горевший;горящий;горевший
1277;A2;meet, come across;rencontrer, faire la rencontre de;встречать;;;;;несовер.;встречать/встретить;not reflexive;not movement;встречаю;встречаешь;встречает;встречаете;встречаем;встречают;встречай;встречайте;встречая;встречав;встречающий;встречавший;встречаемый;
0;A2;meet, come across;rencontrer, faire la rencontre de;встретить;;;;;совер.;встречать/встретить;not reflexive;not movement;встречу;встретишь;встретит;встретите;встретим;встретят;встреть;встретьте;;встретив, *встретивши;;встретивший;;встреченный
1291;A2;sell;vendre;продавать;;;;;несовер.;продавать/продать;not reflexive;not movement;продаю;продаёшь;продаёт;продаёте;продаём;продают;продавай;продавайте;продавая;продавав;продающий;продававший;продаваемый;
0;A2;sell;vendre;продать;;;;;совер.;продавать/продать;not reflexive;not movement;продам;продашь;продаст;продадите;продадим;продадут;продай;продайте;;продав, *продавши;;продавший;;проданный
1295;A2;stand up, get up;se lever, se mettre debout;вставать;;;;;несовер.;вставать/встать;not reflexive;movement;встаю;встаёшь;встаёт;встаёте;встаём;встают;вставай;вставайте;вставая;вставав;встающий;встававший;встающий;встававший
0;A2;stand up, get up;se lever, se mettre debout;встать;;;;;совер.;вставать/встать;not reflexive;movement;встану;встанешь;встанет;встанете;встанем;встанут;встань;встаньте;;встав, *вставши;;вставший;;
1309;A2;dream (of);rêver à, à;мечтать;;;;;несовер.;;not reflexive;not movement;мечтаю;мечтаешь;мечтает;мечтаете;мечтаем;мечтают;мечтай;мечтайте;мечтая;мечтав;мечтающий;мечтавший;мечтающий;мечтавший
1315;A2;arrive, come;arriver, venir;приезжать;;;;;несовер.;приезжать/приехать;not reflexive;movement;приезжаю;приезжаешь;приезжает;приезжаете;приезжаем;приезжают;приезжай;приезжайте;приезжая;;приезжающий;приезжавший;приезжающий;приезжавший
0;A2;arrive, come;arriver, venir;приехать;;;;;совер.;приезжать/приехать;not reflexive;movement;приеду;приедешь;приедет;приедете;приедем;приедут;приезжай;приезжайте;;приехав, *приехавши;;приехавший;;
1316;A2;give back, return;rendre, restituer;отдавать;;;;;несовер.;отдавать/отдать;not reflexive;not movement;отдаю;отдаёшь;отдаёт;отдаёте;отдаём;отдают;отдавай;отдавайте;отдавая;отдавав;отдающий;отдававший;отдаваемый;
0;A2;give back, return;rendre, restituer;отдать;;;;;совер.;отдавать/отдать;not reflexive;not movement;отдам;отдашь;отдаст;отдадите;отдадим;отдадут;отдай;отдайте;;отдав, *отдавши;;отдавший;;отданный
1325;A2;hang, be hanging;pendre, être suspendu;висеть;;;;;несовер.;;not reflexive;movement;вишу;висишь;висит;висите;висим;висят;виси;висите;вися;висев;висящий;висевший;висящий;висевший
1335;A2;lift, raise;lever, monter;поднимать;;;;;несовер.;поднимать/поднять;not reflexive;not movement;поднимаю;поднимаешь;поднимает;поднимаете;поднимаем;поднимают;поднимай;поднимайте;поднимая;поднимав;поднимающий;поднимавший;поднимаемый;
0;A2;lift, raise;lever, monter;поднять;;;;;совер.;поднимать/поднять;not reflexive;not movement;подниму, *подыму;поднимешь, *подымешь;поднимет, *подымет;поднимете, *подымете;поднимем, *подымем;поднимут, *подымут;подними, *подыми;поднимите, *подымите;;подняв, *поднявши;;поднявший;;поднятый
1337;A2;occur, present itself;se présenter;представляться;;;;;несовер.;представляться/представиться;reflexive;not movement;представляюсь;представляешься;представляется;представляетесь;представляемся;представляются;представляйся;представляйтесь;представляясь;представлявшись;представляющийся;представлявшийся;представляющийся;представлявшийся
0;A2;occur, present itself;se présenter;представиться;;;;;совер.;представляться/представиться;reflexive;not movement;представлюсь;представишься;представится;представитесь;представимся;представятся;представься;представьтесь;;представившись;;представившийся;;
1344;A2;throw, hurl;jeter, lancer;бросать;;;;;несовер.;бросать/бросить;not reflexive;not movement;бросаю;бросаешь;бросает;бросаете;бросаем;бросают;бросай;бросайте;бросая;бросав;бросающий;бросавший;бросаемый;
0;A2;throw, hurl;jeter, lancer;бросить;;;;;совер.;бросать/бросить;not reflexive;not movement;брошу;бросишь;бросит;бросите;бросим;бросят;брось;бросьте;;бросив, *бросивши;;бросивший;;брошенный
1347;A2;fly;voler;летать;;;;;несовер.;;not reflexive;movement;летаю;летаешь;летает;летаете;летаем;летают;летай;летайте;летая;летав;летающий;летавший;летающий;летавший
1365;A2;wait (for);attendre, patienter;подождать;;;;;совер.;;not reflexive;movement;подожду;подождёшь;подождёт;подождёте;подождём;подождут;подожди;подождите;;подождав;;подождавший;;
1367;A2;smoke;fumer;курить;;;;;несовер.;курить/покурить;not reflexive;not movement;курю;куришь;курит;курите;курим;курят;кури;курите;куря;курив;курящий;куривший;;куренный
0;A2;have a smoke;fumer;покурить;;;;;совер.;курить/покурить;not reflexive;not movement;покурю;покуришь;покурит;покурите;покурим;покурят;покури;покурите;;покурив, *покуривши;;покуривший;;
1368;A2;breathe, respire;respirer;дышать;;;;;несовер.;дышать/подышать;not reflexive;not movement;дышу;дышишь;дышит;дышите;дышим;дышат;дыши;дышите;дыша;дышав;дышащий;дышавший;дышащий;дышавший
0;A2;breathe, respire;respirer;подышать;;;;;совер.;дышать/подышать;not reflexive;movement;подышу;подышишь;подышит;подышите;подышим;подышат;подыши;подышите;;подышав, *подышавши;;подышавший;;
1371;A2;pull, draw;tirer, traîner;тянуть;;;;;несовер.;тянуть/потянуть;not reflexive;not movement;тяну;тянешь;тянет;тянете;тянем;тянут;тяни;тяните;;тянув;тянущий;тянувший;;тянутый
0;A2;pull, draw;tirer, traîner;потянуть;;;;;совер.;тянуть/потянуть;not reflexive;not movement;потяну;потянешь;потянет;потянете;потянем;потянут;потяни;потяните;;потянув, *потянувши;;потянувший;;потянутый
1372;A2;happen, come to pass;случиться I;случаться;;;;;несовер.;случаться/случиться;reflexive;not movement;случаюсь;случаешься;случается;случаетесь;случаемся;случаются;случайся;случайтесь;случаясь;случавшись;случающийся;случавшийся;случающийся;случавшийся
0;A2;happen, come to pass;arriver, avoir lieu;случиться;;;;;совер.;случаться/случиться;reflexive;not movement;случусь;случишься;случится;случитесь;случимся;случатся;случись;случитесь;;случившись;;случившийся;;
1381;A2;stop, come to a stop / halt;s'arrêter, stopper;останавливаться;;;;;несовер.;останавливаться/остановиться;reflexive;not movement;останавливаюсь;останавливаешься;останавливается;останавливаетесь;останавливаемся;останавливаются;останавливайся;останавливайтесь;останавливаясь;останавливавшись;останавливающийся;останавливавшийся;останавливающийся;останавливавшийся
0;A2;stop, come to a stop / halt;s'arrêter, stopper;остановиться;;;;;совер.;останавливаться/остановиться;reflexive;not movement;остановлюсь;остановишься;остановится;остановитесь;остановимся;остановятся;остановись;остановитесь;;остановившись;;остановившийся;;
1385;A2;send, dispatch;envoyer, expédier;посылать;;;;;несовер.;посылать/послать;not reflexive;not movement;посылаю;посылаешь;посылает;посылаете;посылаем;посылают;посылай;посылайте;посылая;посылав;посылающий;посылавший;посылаемый;
0;A2;send, dispatch;envoyer, expédier;послать;;;;;совер.;посылать/послать;not reflexive;not movement;пошлю;пошлёшь;пошлёт;пошлёте;пошлём;пошлют;пошли;пошлите;;послав, *пославши;;пославший;;посланный
1387;A2;hate, detest;haïr, avoir en haine;ненавидеть;;;;;несовер.;ненавидеть/возненавидеть;not reflexive;not movement;ненавижу;ненавидишь;ненавидит;ненавидите;ненавидим;ненавидят;ненавидь;ненавидьте;ненавидя;ненавидев;ненавидящий;ненавидевший;ненавидимый;
0;A2;conceive a hatred (for), come to hate;prendre en haine, en grippe;возненавидеть;;;;;совер.;ненавидеть/возненавидеть;not reflexive;not movement;возненавижу;возненавидишь;возненавидит;возненавидите;возненавидим;возненавидят;возненавидь;возненавидьте;;возненавидев, *возненавидевши, *возненавидя;;возненавидевший;;
1395;A2;draw / come near, approach;s'approcher de, approcher;приближаться;;;;;несовер.;приближаться/приблизиться;reflexive;not movement;приближаюсь;приближаешься;приближается;приближаетесь;приближаемся;приближаются;приближайся;приближайтесь;приближаясь;приближавшись;приближающийся;приближавшийся;приближающийся;приближавшийся
0;A2;approach, draw near;s'approcher de, approcher;приблизиться;;;;;совер.;приближаться/приблизиться;reflexive;not movement;приближусь;приблизишься;приблизится;приблизитесь;приблизимся;приблизятся;приблизься;приблизьтесь;;приблизившись;;приблизившийся;;
1396;A2;feed;nourrir, donner à manger;кормить;;;;;несовер.;кормить/накормить;not reflexive;not movement;кормлю;кормишь;кормит;кормите;кормим;кормят;корми;кормите;кормя;кормив;кормящий;кормивший;;кормленный
0;A2;feed;nourrir, donner à manger;накормить;;;;;совер.;кормить/накормить;not reflexive;not movement;накормлю;накормишь;накормит;накормите;накормим;накормят;накорми;накормите;;накормив, *накормивши;;накормивший;;
1398;A2;get married (to), marry;se marier avec, épouser;жениться;;;;;не/совер.;;reflexive;not movement;женюсь;женишься;женится;женитесь;женимся;женятся;женись;женитесь;женясь;женившись;женящийся;женившийся;женящийся;женившийся
1404;A2;read;lire, réciter;прочесть;;;;;совер.;читать/прочесть;not reflexive;not movement;прочту;прочтёшь;прочтёт;прочтёте;прочтём;прочтут;прочти;прочтите;;прочтя;;;;прочтённый
1405;A2;examine, check (up);vérifier, contrôler;проверять;;;;;несовер.;проверять/проверить;not reflexive;not movement;проверяю;проверяешь;проверяет;проверяете;проверяем;проверяют;проверяй;проверяйте;проверяя;проверяв;проверяющий;проверявший;проверяемый;
0;A2;examine, check (up);vérifier, contrôler;проверить;;;;;совер.;проверять/проверить;not reflexive;not movement;проверю;проверишь;проверит;проверите;проверим;проверят;проверь;проверьте;;проверив, *проверивши;;проверивший;;проверенный
1408;A2;teach, instruct;apprendre à, apprendre à à;научить;;;;;совер.;учить/научить;not reflexive;not movement;научу;научишь;научит;научите;научим;научат;научи;научите;;научив;;научивший;;наученный
1409;A2;spend, expend;dépenser, perdre;тратить;;;;;несовер.;тратить/истратить;not reflexive;not movement;трачу;тратишь;тратит;тратите;тратим;тратят;трать;тратьте;тратя;тратив;тратящий;тративший;;траченный
0;A2;spend, expend;dépenser, employer;истратить;;;;;совер.;тратить/истратить;not reflexive;not movement;истрачу;истратишь;истратит;истратите;истратим;истратят;истрать;истратьте;;истратив, *истративши;;истративший;;истраченный
1410;A2;eat (up=);manger, avaler;съесть;;;;;совер.;есть/съесть;not reflexive;not movement;съем;съешь;съест;съедите;съедим;съедят;съешь;съешьте;;съев;;съевший;;съеденный
1412;A2;respect, esteem;respecter, estimer;уважать;;;;;несовер.;;not reflexive;not movement;уважаю;уважаешь;уважает;уважаете;уважаем;уважают;уважай;уважайте;уважая;уважав;уважающий;уважавший;уважаемый;
1416;A2;try, attempt;essayer, tester;пробовать;;;;;несовер.;пробовать/попробовать;not reflexive;not movement;пробую;пробуешь;пробует;пробуете;пробуем;пробуют;пробуй;пробуйте;пробуя;пробовав;пробующий;пробовавший;пробуемый;
0;A2;try, attempt;essayer, tester;попробовать;;;;;совер.;пробовать/попробовать;not reflexive;not movement;попробую;попробуешь;попробует;попробуете;попробуем;попробуют;попробуй;попробуйте;;попробовав, *попробовавши;;попробовавший;;
1420;A2;open;s'ouvrir, se rouvrir;открываться;;;;;несовер.;открываться/открыться;reflexive;not movement;открываюсь;открываешься;открывается;открываетесь;открываемся;открываются;открывайся;открывайтесь;открываясь;открывавшись;открывающийся;открывавшийся;открывающийся;открывавшийся
0;A2;open;s'ouvrir, se rouvrir;открыться;;;;;совер.;открываться/открыться;reflexive;not movement;откроюсь;откроешься;откроется;откроетесь;откроемся;откроются;откройся;откройтесь;;открывшись;;открывшийся;;
1424;A2;advise, council;conseiller, donner des conseils;советовать;;;;;несовер.;советовать/посоветовать;not reflexive;movement;советую;советуешь;советует;советуете;советуем;советуют;советуй;советуйте;советуя;советовав;советующий;советовавший;советующий;советовавший
0;A2;advise, council;conseiller, donner des conseils;посоветовать;;;;;совер.;советовать/посоветовать;not reflexive;not movement;посоветую;посоветуешь;посоветует;посоветуете;посоветуем;посоветуют;посоветуй;посоветуйте;;посоветовав, *посоветовавши, *посоветуя;;посоветовавший;;
1427;A2;walk as far as, go / come (to);marcher jusqu’à;доходить;;;;;несовер.;доходить/дойти;not reflexive;movement;дохожу;доходишь;доходит;доходите;доходим;доходят;доходи;доходите;;доходив;;доходивший;;
0;A2;walk as far as, go / come (to);marcher jusqu’à;дойти;;;;;совер.;доходить/дойти;not reflexive;movement;дойду;дойдёшь;дойдёт;дойдёте;дойдём;дойдут;дойди;дойдите;;дойдя;;дошедший;;
1435;A2;thank;remercier, savoir gré à;благодарить;;;;;несовер.;благодарить/поблагодарить;not reflexive;not movement;благодарю;благодаришь;благодарит;благодарите;благодарим;благодарят;благодари;благодарите;благодаря;благодарив;благодарящий;благодаривший;;благодарённый
1441;A2;know (again), recognize;reconnaître;узнавать;;;;;несовер.;узнавать/узнать;not reflexive;not movement;узнаю;узнаёшь;узнаёт;узнаёте;узнаём;узнают;узнавай;узнавайте;узнавая;узнавав;узнающий;узнававший;узнаваемый;
0;A2;know (again), recognize;reconnaître;узнать;;;;;совер.;узнавать/узнать;not reflexive;not movement;узнаю;узнаешь;узнает;узнаете;узнаем;узнают;узнай;узнайте;;узнав, *узнавши;;узнавший;;узнанный
1445;A2;hurry, be in a hurry;être pressé, se dépêcher;торопиться;;;;;несовер.;торопиться/поторопиться;reflexive;not movement;тороплюсь;торопишься;торопится;торопитесь;торопимся;торопятся;торопись;торопитесь;торопясь;торопившись;торопящийся;торопившийся;торопящийся;торопившийся
0;A2;hurry, be in a hurry;être pressé, se dépêcher;поторопиться;;;;;совер.;торопиться/поторопиться;reflexive;not movement;потороплюсь;поторопишься;поторопится;поторопитесь;поторопимся;поторопятся;поторопись;поторопитесь;;поторопившись;;поторопившийся;;
1452;A2;lie (down);se coucher, s'aliter;ложиться;;;;;несовер.;ложиться/лечь;reflexive;not movement;ложусь;ложишься;ложится;ложитесь;ложимся;ложатся;ложись;ложитесь;ложась;ложившись;ложащийся;ложившийся;ложащийся;ложившийся
1464;A2;kiss, give a kiss;embrasser (à, sur);целовать;;;;;несовер.;целовать/поцеловать;not reflexive;not movement;целую;целуешь;целует;целуете;целуем;целуют;целуй;целуйте;целуя;целовав;целующий;целовавший;целуемый;целованный
1465;A2;be frightened (of), be startled (of);s'effrayer, avoir peur;испугаться;;;;;несовер.;испугаться/пугаться;reflexive;not movement;испугаюсь;испугаешься;испугается;испугаетесь;испугаемся;испугаются;испугайся;испугайтесь;;испугавшись;;испугавшийся;;
0;A2;be frightened (of), be startled (of);avoir peur de, s'effrayer de;пугаться;;;;;несовер.;пугаться/испугаться;reflexive;not movement;пугаюсь;пугаешься;пугается;пугаетесь;пугаемся;пугаются;пугайся;пугайтесь;пугаясь;пугавшись;пугающийся;пугавшийся;пугающийся;пугавшийся
